Year,Event,Full_Text,Sentiment_Score,Category
2017,"^""H.J.Res.38—Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule"".congress.gov. February 16, 2017.Archivedfrom the original on March 8, 2017....","^""H.J.Res.38—Disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule"".congress.gov. February 16, 2017.Archivedfrom the original on March 8, 2017.",0.375,Positive
2017,"^""Robert Harward turns down Trump's national security adviser offer"".BBC News. February 17, 2017.Archivedfrom the original on June 19, 2025. RetrievedNovember 22,2025....","^""Robert Harward turns down Trump's national security adviser offer"".BBC News. February 17, 2017.Archivedfrom the original on June 19, 2025. RetrievedNovember 22,2025.",0.10972222222222222,Positive
2017,"^Collinson, Stephen (February 16, 2017).""An amazing moment in history: Donald Trump's press conference"".CNN.Archivedfrom the original on February 16, 2017. RetrievedFebruary 16,2017....","^Collinson, Stephen (February 16, 2017).""An amazing moment in history: Donald Trump's press conference"".CNN.Archivedfrom the original on February 16, 2017. RetrievedFebruary 16,2017.",0.48750000000000004,Positive
2017,"^""Remarks by the Vice President at a Swearing-in Ceremony for OMB Director Mulvaney"".White House. February 16, 2017. Archived fromthe originalon March 17, 2017. RetrievedMarch 16,2017....","^""Remarks by the Vice President at a Swearing-in Ceremony for OMB Director Mulvaney"".White House. February 16, 2017. Archived fromthe originalon March 17, 2017. RetrievedMarch 16,2017.",0.0,Neutral
2017,"^Baker, Peter (February 16, 2017).""R. Alexander Acosta, Law School Dean, Is Trump's New Pick for Labor"".The New York Times.ISSN0362-4331.Archivedfrom the original on February 17, 2017. RetrievedFebrua...","^Baker, Peter (February 16, 2017).""R. Alexander Acosta, Law School Dean, Is Trump's New Pick for Labor"".The New York Times.ISSN0362-4331.Archivedfrom the original on February 17, 2017. RetrievedFebruary 16,2017.",0.2159090909090909,Positive
2017,"^Johnson, Kevin (February 9, 2017).""Jeff Sessions sworn in as attorney general while Trump signs orders"".USA Today.Archivedfrom the original on November 19, 2024. RetrievedFebruary 28,2020....","^Johnson, Kevin (February 9, 2017).""Jeff Sessions sworn in as attorney general while Trump signs orders"".USA Today.Archivedfrom the original on November 19, 2024. RetrievedFebruary 28,2020.",0.21250000000000002,Positive
2017,"^""Public Schedule: March 28, 2017"".US Department of State. March 28, 2017. Archived fromthe originalon March 30, 2017....","^""Public Schedule: March 28, 2017"".US Department of State. March 28, 2017. Archived fromthe originalon March 30, 2017.",0.0,Neutral
2017,"^Nance, Malcolm (February 26, 2017).""The story of the week is Trump, Russia and the FBI. The rest is a distraction"".The Guardian.Archivedfrom the original on February 25, 2017. RetrievedFebruary 26,20...","^Nance, Malcolm (February 26, 2017).""The story of the week is Trump, Russia and the FBI. The rest is a distraction"".The Guardian.Archivedfrom the original on February 25, 2017. RetrievedFebruary 26,2017.",0.375,Positive
2017,"^Rappeport, Alan (February 15, 2017).""Andrew Puzder Withdraws From Consideration as Labor Secretary"".The New York Times.ISSN0362-4331.Archivedfrom the original on February 16, 2017. RetrievedFebruary ...","^Rappeport, Alan (February 15, 2017).""Andrew Puzder Withdraws From Consideration as Labor Secretary"".The New York Times.ISSN0362-4331.Archivedfrom the original on February 16, 2017. RetrievedFebruary 16,2017.",0.2556818181818182,Positive
2017,"^""Israel-Palestinian conflict: UN warns Trump over two-state reversal"".BBC News. February 16, 2017.Archivedfrom the original on February 16, 2017. RetrievedFebruary 16,2017....","^""Israel-Palestinian conflict: UN warns Trump over two-state reversal"".BBC News. February 16, 2017.Archivedfrom the original on February 16, 2017. RetrievedFebruary 16,2017.",0.375,Positive
2017,"^Diamond, Jeremy (February 15, 2017).""Trump: Netanyahu should 'hold back' on settlements"".CNN.Archivedfrom the original on February 15, 2017. RetrievedFebruary 15,2017....","^Diamond, Jeremy (February 15, 2017).""Trump: Netanyahu should 'hold back' on settlements"".CNN.Archivedfrom the original on February 15, 2017. RetrievedFebruary 15,2017.",0.1875,Positive
2017,"^""H.J.Res.41—Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to ""Disclosure of Payments b...","^""H.J.Res.41—Providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to ""Disclosure of Payments by Resource Extraction Issuers"""".congress.gov. February 14, 2017.Archivedfrom the original on March 29, 2017.",0.375,Positive
2017,"^Adriance, Sam (February 16, 2017).""President Trump Signs First Congressional Review Act Disapproval Resolution in 16 Years"".The National Law Review.Archivedfrom the original on March 9, 2017. Retriev...","^Adriance, Sam (February 16, 2017).""President Trump Signs First Congressional Review Act Disapproval Resolution in 16 Years"".The National Law Review.Archivedfrom the original on March 9, 2017. RetrievedMarch 8,2017.",0.3125,Positive
2017,"^""Public Schedule: February 14, 2017"".US Department of State. February 14, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: February 14, 2017"".US Department of State. February 14, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^""Christie meets with Trump to talk drug policy"".North Jersey Media Group. February 14, 2017.Archivedfrom the original on March 17, 2017. RetrievedMarch 16,2017....","^""Christie meets with Trump to talk drug policy"".North Jersey Media Group. February 14, 2017.Archivedfrom the original on March 17, 2017. RetrievedMarch 16,2017.",0.375,Positive
2017,"^Freking, Kevin.""Former wrestling executive Linda McMahon confirmed to lead SBA"".Chicago Tribune.Archivedfrom the original on February 16, 2017. RetrievedFebruary 16,2017....","^Freking, Kevin.""Former wrestling executive Linda McMahon confirmed to lead SBA"".Chicago Tribune.Archivedfrom the original on February 16, 2017. RetrievedFebruary 16,2017.",0.25833333333333336,Positive
2017,"^abBarrett, Devlin (June 7, 2017).""'I expect loyalty,' Trump told Comey, according to written testimony"".The Washington Post.Archivedfrom the original on June 7, 2017. RetrievedJune 7,2017....","^abBarrett, Devlin (June 7, 2017).""'I expect loyalty,' Trump told Comey, according to written testimony"".The Washington Post.Archivedfrom the original on June 7, 2017. RetrievedJune 7,2017.",0.375,Positive
2017,"^""Public Schedule: February 15, 2017"".US Department of State. February 15, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: February 15, 2017"".US Department of State. February 15, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^""Trump meets with Condoleezza Rice"".CNN. March 31, 2017.Archivedfrom the original on March 31, 2017. RetrievedMarch 31,2017....","^""Trump meets with Condoleezza Rice"".CNN. March 31, 2017.Archivedfrom the original on March 31, 2017. RetrievedMarch 31,2017.",0.375,Positive
2017,"^""Public Schedule: February 8, 2017"".US Department of State. February 8, 2017. Archived fromthe originalon March 25, 2017....","^""Public Schedule: February 8, 2017"".US Department of State. February 8, 2017. Archived fromthe originalon March 25, 2017.",0.0,Neutral
2017,"^""Statement from the Press Secretary"".whitehouse.gov. February 8, 2017.Archivedfrom the original on March 27, 2025. RetrievedFebruary 9,2017....","^""Statement from the Press Secretary"".whitehouse.gov. February 8, 2017.Archivedfrom the original on March 27, 2025. RetrievedFebruary 9,2017.",0.375,Positive
2017,"^""U.S. makes limited exceptions to sanctions on Russian spy agency"".Reuters. February 2, 2017.Archivedfrom the original on August 2, 2017....","^""U.S. makes limited exceptions to sanctions on Russian spy agency"".Reuters. February 2, 2017.Archivedfrom the original on August 2, 2017.",0.1011904761904762,Positive
2017,"^""Trump warns Israel that new settlements 'may not help' peace process"".ABC News (Australia). February 3, 2017.Archivedfrom the original on September 17, 2025. RetrievedNovember 22,2025....","^""Trump warns Israel that new settlements 'may not help' peace process"".ABC News (Australia). February 3, 2017.Archivedfrom the original on September 17, 2025. RetrievedNovember 22,2025.",0.2556818181818182,Positive
2017,"^""President Donald J. Trump Proclaims February as American Heart Month"".White House. February 2, 2017. Archived fromthe originalon February 7, 2017....","^""President Donald J. Trump Proclaims February as American Heart Month"".White House. February 2, 2017. Archived fromthe originalon February 7, 2017.",0.0,Neutral
2017,"^Landler, Mark; Goodstein, Laurie (February 2, 2017).""Trump Vows to 'Destroy' Law Banning Political Endorsements by Churches"".The New York Times.ISSN0362-4331.Archivedfrom the original on August 8, 20...","^Landler, Mark; Goodstein, Laurie (February 2, 2017).""Trump Vows to 'Destroy' Law Banning Political Endorsements by Churches"".The New York Times.ISSN0362-4331.Archivedfrom the original on August 8, 2025. RetrievedSeptember 7,2020.",0.07784090909090909,Positive
2017,"^Cillizza, Chris (February 2, 2017).""Donald Trump Gave a Doozy of a Speech at the National Prayer Breakfast"".The Washington Post.Archivedfrom the original on February 2, 2017. RetrievedFebruary 2,2017...","^Cillizza, Chris (February 2, 2017).""Donald Trump Gave a Doozy of a Speech at the National Prayer Breakfast"".The Washington Post.Archivedfrom the original on February 2, 2017. RetrievedFebruary 2,2017.",0.375,Positive
2017,"^""Remarks by President Trump at National Prayer Breakfast"".whitehouse.gov. February 2, 2017.Archivedfrom the original on May 27, 2025 – viaNational Archives....","^""Remarks by President Trump at National Prayer Breakfast"".whitehouse.gov. February 2, 2017.Archivedfrom the original on May 27, 2025 – viaNational Archives.",0.375,Positive
2017,"^""Trump Calls Congressional Inquiry a 'Witch Hunt' (Published 2017)"".The New York Times. March 31, 2017.Archivedfrom the original on August 8, 2025. RetrievedDecember 10,2025....","^""Trump Calls Congressional Inquiry a 'Witch Hunt' (Published 2017)"".The New York Times. March 31, 2017.Archivedfrom the original on August 8, 2025. RetrievedDecember 10,2025.",0.2556818181818182,Positive
2017,"^""NRDC Sues EPA Over Withdrawal of Mercury Protection Rule"".Natural Resources Defense Council. February 2017.Archivedfrom the original on July 10, 2025. RetrievedSeptember 7,2020....","^""NRDC Sues EPA Over Withdrawal of Mercury Protection Rule"".Natural Resources Defense Council. February 2017.Archivedfrom the original on July 10, 2025. RetrievedSeptember 7,2020.",0.375,Positive
2017,"^""President Donald J. Trump Proclaims February As National African American History Month"".whitehouse.gov. February 2, 2017.Archivedfrom the original on September 15, 2025. RetrievedFebruary 3,2017– v...","^""President Donald J. Trump Proclaims February As National African American History Month"".whitehouse.gov. February 2, 2017.Archivedfrom the original on September 15, 2025. RetrievedFebruary 3,2017– viaNational Archives.",0.125,Positive
2017,"^Miller, Greg (July 3, 2017).""Trump urged Mexican president to end his public defiance on border wall, transcript reveals"".The Washington Post.Archivedfrom the original on August 3, 2017....","^Miller, Greg (July 3, 2017).""Trump urged Mexican president to end his public defiance on border wall, transcript reveals"".The Washington Post.Archivedfrom the original on August 3, 2017.",0.125,Positive
2017,"^Miller, Greg (February 2, 2017).""No 'G'day, mate': On call with Australian prime minister, Trump badgers and brags"".The Washington Post.Archivedfrom the original on February 2, 2017....","^Miller, Greg (February 2, 2017).""No 'G'day, mate': On call with Australian prime minister, Trump badgers and brags"".The Washington Post.Archivedfrom the original on February 2, 2017.",0.1875,Positive
2017,"^Wilkinson, Tracy (February 1, 2017).""Senate confirms Rex Tillerson as Trump's secretary of State"".Los Angeles Times.Archivedfrom the original on February 2, 2017. RetrievedFebruary 2,2017....","^Wilkinson, Tracy (February 1, 2017).""Senate confirms Rex Tillerson as Trump's secretary of State"".Los Angeles Times.Archivedfrom the original on February 2, 2017. RetrievedFebruary 2,2017.",0.375,Positive
2017,"^""Trump travels to Delaware to meet remains of U.S. commando killed in Yemen raid"".CBS News. February 1, 2017.Archivedfrom the original on February 1, 2017. RetrievedFebruary 2,2017....","^""Trump travels to Delaware to meet remains of U.S. commando killed in Yemen raid"".CBS News. February 1, 2017.Archivedfrom the original on February 1, 2017. RetrievedFebruary 2,2017.",0.0875,Positive
2017,"^""U.S. Senate Roll Call Vote PN 35"".US Senate. January 31, 2017.Archivedfrom the original on August 29, 2025. RetrievedJanuary 31,2017....","^""U.S. Senate Roll Call Vote PN 35"".US Senate. January 31, 2017.Archivedfrom the original on August 29, 2025. RetrievedJanuary 31,2017.",0.375,Positive
2017,"^Mangan, Dan (January 31, 2017).""Trump vows to get drug prices lower, tells drugmakers he wants them to manufacture in the US"".CNBC.Archivedfrom the original on June 20, 2021. RetrievedNovember 22,202...","^Mangan, Dan (January 31, 2017).""Trump vows to get drug prices lower, tells drugmakers he wants them to manufacture in the US"".CNBC.Archivedfrom the original on June 20, 2021. RetrievedNovember 22,2025.",0.2875,Positive
2017,"^""Trump walks out before signing executive orders"".CNN. April 1, 2017.Archivedfrom the original on April 1, 2017....","^""Trump walks out before signing executive orders"".CNN. April 1, 2017.Archivedfrom the original on April 1, 2017.",0.375,Positive
2017,"^""President Trump Nominates Neil Gorsuch To The Supreme Court"".NPR. January 31, 2017.Archivedfrom the original on September 19, 2025....","^""President Trump Nominates Neil Gorsuch To The Supreme Court"".NPR. January 31, 2017.Archivedfrom the original on September 19, 2025.",0.375,Positive
2017,"^""Iraq parliament votes in favour of travel ban on US"".Yahoo Finance. January 30, 2017. Archived fromthe originalon August 9, 2020....","^""Iraq parliament votes in favour of travel ban on US"".Yahoo Finance. January 30, 2017. Archived fromthe originalon August 9, 2020.",0.0,Neutral
2017,"^""Petition to Ban Trump's State Visit to UK Reaches 1M Signatures"".NBC News. January 30, 2017.Archivedfrom the original on September 24, 2024....","^""Petition to Ban Trump's State Visit to UK Reaches 1M Signatures"".NBC News. January 30, 2017.Archivedfrom the original on September 24, 2024.",0.375,Positive
2017,"^""This London borough has a message for President Trump: You're not welcome here"".The Washington Post. December 18, 2017.Archivedfrom the original on April 5, 2019....","^""This London borough has a message for President Trump: You're not welcome here"".The Washington Post. December 18, 2017.Archivedfrom the original on April 5, 2019.",-0.012500000000000011,Neutral
2017,"^""President Donald J. Trump Will Continue to Enforce Executive Order Protecting the Rights of the LGBTQ Community in the Workplace"".White House. January 31, 2017. Archived fromthe originalon January 3...","^""President Donald J. Trump Will Continue to Enforce Executive Order Protecting the Rights of the LGBTQ Community in the Workplace"".White House. January 31, 2017. Archived fromthe originalon January 31, 2017.",0.0,Neutral
2017,"^""Six things you need to know as Germany's foreign minister Sigmar Gabriel arrives for talks with Donald Trump's team"".The Telegraph. February 2, 2017.Archivedfrom the original on April 1, 2017....","^""Six things you need to know as Germany's foreign minister Sigmar Gabriel arrives for talks with Donald Trump's team"".The Telegraph. February 2, 2017.Archivedfrom the original on April 1, 2017.",0.125,Positive
2017,"^Seung Min Kim & Brianna Ehley (March 30, 2017).""Pence breaks tie in Senate vote on Planned Parenthood funding"".Politico.Archivedfrom the original on March 30, 2017....","^Seung Min Kim & Brianna Ehley (March 30, 2017).""Pence breaks tie in Senate vote on Planned Parenthood funding"".Politico.Archivedfrom the original on March 30, 2017.",0.375,Positive
2017,"^Gaouette, Nicole; Roth, Richard.""UN Ambassador Haley hits Russia hard on Ukraine"".CNN.Archivedfrom the original on February 6, 2017. RetrievedFebruary 7,2017....","^Gaouette, Nicole; Roth, Richard.""UN Ambassador Haley hits Russia hard on Ukraine"".CNN.Archivedfrom the original on February 6, 2017. RetrievedFebruary 7,2017.",0.04166666666666666,Neutral
2017,"^""Core Principles for Regulating the United States Financial System"".Federal Register. February 3, 2017.Archivedfrom the original on April 16, 2025....","^""Core Principles for Regulating the United States Financial System"".Federal Register. February 3, 2017.Archivedfrom the original on April 16, 2025.",0.1875,Positive
2017,"^""President Trump announces his full Cabinet roster"".Yahoo News.Archivedfrom the original on February 8, 2017. RetrievedFebruary 9,2017....","^""President Trump announces his full Cabinet roster"".Yahoo News.Archivedfrom the original on February 8, 2017. RetrievedFebruary 9,2017.",0.3625,Positive
2017,"^""President Donald J. Trump Announces His Cabinet"".whitehouse.gov. February 8, 2017.Archivedfrom the original on September 26, 2025. RetrievedFebruary 9,2017– viaNational Archives....","^""President Donald J. Trump Announces His Cabinet"".whitehouse.gov. February 8, 2017.Archivedfrom the original on September 26, 2025. RetrievedFebruary 9,2017– viaNational Archives.",0.375,Positive
2017,"^""U.S. Senate: Roll Call Vote"".US Senate.Archivedfrom the original on February 10, 2017. RetrievedFebruary 9,2017....","^""U.S. Senate: Roll Call Vote"".US Senate.Archivedfrom the original on February 10, 2017. RetrievedFebruary 9,2017.",0.375,Positive
2017,"^""Press Briefing by Press Secretary Sean Spicer, 2/8/2017, #10"".whitehouse.gov. February 8, 2017.Archivedfrom the original on March 21, 2025. RetrievedFebruary 9,2017....","^""Press Briefing by Press Secretary Sean Spicer, 2/8/2017, #10"".whitehouse.gov. February 8, 2017.Archivedfrom the original on March 21, 2025. RetrievedFebruary 9,2017.",0.375,Positive
2017,"^""U.S. priority on Syria no longer focused on 'getting Assad out': Haley"".Reuters. March 30, 2017.Archivedfrom the original on June 30, 2017....","^""U.S. priority on Syria no longer focused on 'getting Assad out': Haley"".Reuters. March 30, 2017.Archivedfrom the original on June 30, 2017.",0.375,Positive
2017,"^Stelter, Brian (February 7, 2017).""Trump faults media while lying about murder rate"".CNN Money. Archived fromthe originalon May 18, 2024. RetrievedSeptember 7,2020....","^Stelter, Brian (February 7, 2017).""Trump faults media while lying about murder rate"".CNN Money. Archived fromthe originalon May 18, 2024. RetrievedSeptember 7,2020.",0.0,Neutral
2017,"^""U.S. Attorney General Jeff Sessions Meets with Attorneys General of El Salvador, Guatemala and Honduras"".US Department of Justice. March 30, 2017.Archivedfrom the original on April 16, 2017....","^""U.S. Attorney General Jeff Sessions Meets with Attorneys General of El Salvador, Guatemala and Honduras"".US Department of Justice. March 30, 2017.Archivedfrom the original on April 16, 2017.",0.15833333333333335,Positive
2017,"^""Justice Department Urges Appeals Court to Reinstate Trump's Travel Ban (Published 2017)"".The New York Times. February 6, 2017.Archivedfrom the original on August 8, 2025. RetrievedNovember 22,2025....","^""Justice Department Urges Appeals Court to Reinstate Trump's Travel Ban (Published 2017)"".The New York Times. February 6, 2017.Archivedfrom the original on August 8, 2025. RetrievedNovember 22,2025.",0.2556818181818182,Positive
2017,"^Superville, Darlene (February 6, 2017).""Trump lunches with troops on first visit to MacDill Base"".Deseret News. Archived fromthe originalon April 18, 2017. RetrievedApril 2,2017....","^Superville, Darlene (February 6, 2017).""Trump lunches with troops on first visit to MacDill Base"".Deseret News. Archived fromthe originalon April 18, 2017. RetrievedApril 2,2017.",-0.275,Negative
2017,"^Gerstein, Josh; Morin, Rebecca (February 4, 2017).""Appeals Court Rebuffs Request to Quickly Restore Travel Ban"".Politico.Archivedfrom the original on February 5, 2017. RetrievedFebruary 5,2017....","^Gerstein, Josh; Morin, Rebecca (February 4, 2017).""Appeals Court Rebuffs Request to Quickly Restore Travel Ban"".Politico.Archivedfrom the original on February 5, 2017. RetrievedFebruary 5,2017.",0.35416666666666663,Positive
2017,"^""Uber CEO resigns from Trump business advisory group over immigration concerns"".Politico. February 2, 2017.Archivedfrom the original on August 15, 2017....","^""Uber CEO resigns from Trump business advisory group over immigration concerns"".Politico. February 2, 2017.Archivedfrom the original on August 15, 2017.",0.375,Positive
2017,"^Farrer, Martin (February 5, 2017).""US appeals court rejects White House request to reinstate travel ban"".The Guardian.ISSN0261-3077.Archivedfrom the original on November 3, 2024. RetrievedNovember 22...","^Farrer, Martin (February 5, 2017).""US appeals court rejects White House request to reinstate travel ban"".The Guardian.ISSN0261-3077.Archivedfrom the original on November 3, 2024. RetrievedNovember 22,2025.",0.1875,Positive
2017,"^Tucker, Eric (February 5, 2017).""Justice Department Appeals Ruling on Travel Ban"".The Boston Globe.Archivedfrom the original on February 5, 2017. RetrievedFebruary 5,2017....","^Tucker, Eric (February 5, 2017).""Justice Department Appeals Ruling on Travel Ban"".The Boston Globe.Archivedfrom the original on February 5, 2017. RetrievedFebruary 5,2017.",0.375,Positive
2017,"^""Trump Posted A False News Report To His Facebook Page And Got Thousands Of Shares"".BuzzFeed News. February 4, 2017.Archivedfrom the original on July 21, 2025. RetrievedSeptember 7,2020....","^""Trump Posted A False News Report To His Facebook Page And Got Thousands Of Shares"".BuzzFeed News. February 4, 2017.Archivedfrom the original on July 21, 2025. RetrievedSeptember 7,2020.",-0.012500000000000039,Neutral
2017,"^""Treasury Sanctions Supporters of Iran's Ballistic Missile Program and Iran's Islamic Revolutionary Guard Corps—Qods Force"".US Department of the Treasury. February 3, 2017.Archivedfrom the original o...","^""Treasury Sanctions Supporters of Iran's Ballistic Missile Program and Iran's Islamic Revolutionary Guard Corps—Qods Force"".US Department of the Treasury. February 3, 2017.Archivedfrom the original on February 4, 2017.",0.375,Positive
2017,"^""Trump's pick for Army secretary drops out"".Reuters. February 4, 2017.Archivedfrom the original on May 30, 2017....","^""Trump's pick for Army secretary drops out"".Reuters. February 4, 2017.Archivedfrom the original on May 30, 2017.",0.375,Positive
2017,"^Fung, Brian (February 3, 2017).""New FCC chair just blocked 9 companies from providing affordable Internet to the poor"".Chicago Tribune. Archived fromthe originalon December 8, 2023. RetrievedSeptembe...","^Fung, Brian (February 3, 2017).""New FCC chair just blocked 9 companies from providing affordable Internet to the poor"".Chicago Tribune. Archived fromthe originalon December 8, 2023. RetrievedSeptember 7,2020.",-0.13181818181818183,Negative
2017,"^""Public Schedule: February 3, 2017"".US Department of State. February 3, 2017. Archived fromthe originalon March 30, 2017....","^""Public Schedule: February 3, 2017"".US Department of State. February 3, 2017. Archived fromthe originalon March 30, 2017.",0.0,Neutral
2017,"^Brunner, Jim (February 3, 2017).""Judge in Seattle Halts Trump's Immigration Order Nationwide; White House Vows Fight"".The Seattle Times.Archivedfrom the original on February 4, 2017. RetrievedFebruar...","^Brunner, Jim (February 3, 2017).""Judge in Seattle Halts Trump's Immigration Order Nationwide; White House Vows Fight"".The Seattle Times.Archivedfrom the original on February 4, 2017. RetrievedFebruary 4,2017.",0.1875,Positive
2017,"^Torbati, Yeganeh (February 3, 2017).""Trump Administration Tightens Iran Sanctions, Tehran Hits Back"".Reuters.Archivedfrom the original on February 4, 2017. RetrievedFebruary 4,2017....","^Torbati, Yeganeh (February 3, 2017).""Trump Administration Tightens Iran Sanctions, Tehran Hits Back"".Reuters.Archivedfrom the original on February 4, 2017. RetrievedFebruary 4,2017.",0.1875,Positive
2017,"^""Trump hits 13 people, dozen companies in new Iran sanctions"".ABC7 Los Angeles. February 3, 2017.Archivedfrom the original on December 11, 2025. RetrievedNovember 22,2025....","^""Trump hits 13 people, dozen companies in new Iran sanctions"".ABC7 Los Angeles. February 3, 2017.Archivedfrom the original on December 11, 2025. RetrievedNovember 22,2025.",0.2556818181818182,Positive
2017,"^""Presidential Memorandum on Fiduciary Duty Rule"".whitehouse.gov. February 3, 2017.Archivedfrom the original on July 15, 2025 – viaNational Archives....","^""Presidential Memorandum on Fiduciary Duty Rule"".whitehouse.gov. February 3, 2017.Archivedfrom the original on July 15, 2025 – viaNational Archives.",0.375,Positive
2017,"^Goldmacher, Shane; Nussbaum, Matthew; Palmeri, Tara; Isenstadt, Alex (March 30, 2017).""Senior White House aide Katie Walsh moving to pro-Trump political group"".Politico.Archivedfrom the original on J...","^Goldmacher, Shane; Nussbaum, Matthew; Palmeri, Tara; Isenstadt, Alex (March 30, 2017).""Senior White House aide Katie Walsh moving to pro-Trump political group"".Politico.Archivedfrom the original on July 26, 2025. RetrievedMarch 30,2017.",0.125,Positive
2017,"^""Secretary Zinke to host media call about lifting the coal moratorium and American energy independence"".US Department of the Interior. March 28, 2017. Archived fromthe originalon April 1, 2020. Retri...","^""Secretary Zinke to host media call about lifting the coal moratorium and American energy independence"".US Department of the Interior. March 28, 2017. Archived fromthe originalon April 1, 2020. RetrievedApril 15,2017.",0.0,Neutral
2018,EnvironmentParis Agreement withdrawalAmerica's Water Infrastructure Act of 2018...,EnvironmentParis Agreement withdrawalAmerica's Water Infrastructure Act of 2018,0.0,Neutral
2018,EnvironmentParis Agreement withdrawalAmerica's Water Infrastructure Act of 2018...,EnvironmentParis Agreement withdrawalAmerica's Water Infrastructure Act of 2018,0.0,Neutral
2018,"^""ADMINISTRATION PROPOSES 2018 HUD BUDGET"".US Department of Housing and Urban Development. March 16, 2017. Archived fromthe originalon August 25, 2017. RetrievedNovember 20,2017....","^""ADMINISTRATION PROPOSES 2018 HUD BUDGET"".US Department of Housing and Urban Development. March 16, 2017. Archived fromthe originalon August 25, 2017. RetrievedNovember 20,2017.",0.0,Neutral
2018,"^Entous, Adam; Osnos, Evan (January 19, 2018).""Jared Kushner Is China's Trump Card"".The New Yorker.ISSN0028-792X.Archivedfrom the original on July 10, 2025....","^Entous, Adam; Osnos, Evan (January 19, 2018).""Jared Kushner Is China's Trump Card"".The New Yorker.ISSN0028-792X.Archivedfrom the original on July 10, 2025.",0.2556818181818182,Positive
2019,"President Trump entertains theLouisiana State University football team,2019 College Football Champions, at the White House....","President Trump entertains theLouisiana State University football team,2019 College Football Champions, at the White House.",0.0,Neutral
2019,"^Crowley, Michael; Hassan, Falih; Schmitt, Eric (January 2, 2019).""U.S. Strike in Iraq Kills Qassim Suleimani, Commander of Iranian Forces"".The New York Times.Archivedfrom the original on January 3, 2...","^Crowley, Michael; Hassan, Falih; Schmitt, Eric (January 2, 2019).""U.S. Strike in Iraq Kills Qassim Suleimani, Commander of Iranian Forces"".The New York Times.Archivedfrom the original on January 3, 2020. RetrievedJanuary 3,2019.",0.2556818181818182,Positive
2019,"^Almukhtar, Sarah; Martin, Jonathan; Stevens, Matt (June 24, 2019).""2020 Presidential Election Calendar"".The New York Times.Archivedfrom the original on December 19, 2020. RetrievedJanuary 10,2020....","^Almukhtar, Sarah; Martin, Jonathan; Stevens, Matt (June 24, 2019).""2020 Presidential Election Calendar"".The New York Times.Archivedfrom the original on December 19, 2020. RetrievedJanuary 10,2020.",0.2556818181818182,Positive
2019,"^Sullivan, Eileen (December 20, 2019).""Trump to Give State of the Union Address Feb. 4"".The New York Times.Archivedfrom the original on December 29, 2019. RetrievedJanuary 10,2020....","^Sullivan, Eileen (December 20, 2019).""Trump to Give State of the Union Address Feb. 4"".The New York Times.Archivedfrom the original on December 29, 2019. RetrievedJanuary 10,2020.",0.2556818181818182,Positive
2020,"^Goldman, Adam (February 14, 2020).""Andrew McCabe, Ex-F.B.I. Official, Will Not Be Charged in Lying Case"".New York Times.Archivedfrom the original on February 15, 2021. RetrievedFebruary 15,2020....","^Goldman, Adam (February 14, 2020).""Andrew McCabe, Ex-F.B.I. Official, Will Not Be Charged in Lying Case"".New York Times.Archivedfrom the original on February 15, 2021. RetrievedFebruary 15,2020.",0.375,Positive
2020,"^Jarrett, Laura (February 17, 2020).""Bill Barr resignation: More than 2,000 former prosecutors and other DOJ officials call on the Attorney General to resign"". MSNBC. RetrievedFebruary 18,2020....","^Jarrett, Laura (February 17, 2020).""Bill Barr resignation: More than 2,000 former prosecutors and other DOJ officials call on the Attorney General to resign"". MSNBC. RetrievedFebruary 18,2020.",0.10625000000000001,Positive
2020,"^Liptak, Kevin; Collins, Kaitlin (February 18, 2020).""Trump commutes Blagojevich's sentence and grants clemency to 10 others"". CNN. RetrievedFebruary 18,2020....","^Liptak, Kevin; Collins, Kaitlin (February 18, 2020).""Trump commutes Blagojevich's sentence and grants clemency to 10 others"". CNN. RetrievedFebruary 18,2020.",0.0,Neutral
2020,"^Oprysko, Caitlin (February 18, 2020).""Trump announces a blitz of pardons and commutations"". POLITICO.Archivedfrom the original on February 15, 2021. RetrievedFebruary 18,2020....","^Oprysko, Caitlin (February 18, 2020).""Trump announces a blitz of pardons and commutations"". POLITICO.Archivedfrom the original on February 15, 2021. RetrievedFebruary 18,2020.",0.375,Positive
2020,"^Collins, Michael; Subramanian, Courtney; Jackson, David (February 19, 2020).""Donald Trump at Phoenix rally weighs in on Democratic debate, criticizes Michael Bloomberg"". USA Today.Archivedfrom the or...","^Collins, Michael; Subramanian, Courtney; Jackson, David (February 19, 2020).""Donald Trump at Phoenix rally weighs in on Democratic debate, criticizes Michael Bloomberg"". USA Today.Archivedfrom the original on February 9, 2021. RetrievedFebruary 20,2020.",0.375,Positive
